,age1,age2,daily_per_capita_contacts
0,00-04,00-04,2.5982374741684553
1,00-04,05-10,0.6472638787037888
2,00-04,11-13,0.30484184027079697
3,00-04,14-17,0.23926277413901298
4,00-04,18-49,0.4412962973317475
5,00-04,50-64,0.4304862831476369
6,00-04,65+,0.19728874330997015
7,05-10,00-04,0.8003408842334023
8,05-10,05-10,4.195982625723575
9,05-10,11-13,5.0867289291506
10,05-10,14-17,3.4183465552721835
11,05-10,18-49,0.8067035524934462
12,05-10,50-64,0.6639868654029064
13,05-10,65+,0.3565122904022561
14,11-13,00-04,0.4993961229993105
15,11-13,05-10,4.754312214219721
16,11-13,11-13,8.284523555431033
17,11-13,14-17,5.6760415748513235
18,11-13,18-49,0.9979742331518765
19,11-13,50-64,0.7118537039170257
20,11-13,65+,0.36676466653704215
21,14-17,00-04,0.4076969233508545
22,14-17,05-10,2.707287270630209
23,14-17,11-13,4.629002177348191
24,14-17,14-17,5.857925742849839
25,14-17,18-49,1.8373331020345316
26,14-17,50-64,0.8452832594995622
27,14-17,65+,0.33658356017531005
28,18-49,00-04,0.6156390877496647
29,18-49,05-10,0.6320198005048633
30,18-49,11-13,0.6631991806435843
31,18-49,14-17,1.5568446368181343
32,18-49,18-49,1.6569493331024017
33,18-49,50-64,0.9887075260572713
34,18-49,65+,0.33340093262925663
35,50-64,00-04,0.2588522302539587
36,50-64,05-10,0.1999948902748855
37,50-64,11-13,0.1967667172378953
38,50-64,14-17,0.2426722587812938
39,50-64,18-49,0.4883815781859918
40,50-64,50-64,0.9812895272304455
41,50-64,65+,0.34769071519144046
42,65+,00-04,0.08289873813146395
43,65+,05-10,0.07101030748638675
44,65+,11-13,0.07152093308868132
45,65+,14-17,0.056170586630766614
46,65+,18-49,0.05904116655747296
47,65+,50-64,0.14349755076199874
48,65+,65+,0.38680483237663726
