,vertex_src,vertex_dest
0,78610,outside area
1,78620,St. David's South Austin Medical Center
2,78652,outside area
3,78701,"Dell Seton Medical Center, UT"
4,78702,St. David's Medical Center
5,78703,Seton Medical Center - Austin
6,78704,St. David's South Austin Medical Center
7,78705,St. David's Medical Center
8,78712,St. David's South Austin Medical Center
9,78721,St. David's Medical Center
10,78722,St. David's Medical Center
11,78723,St. David's Medical Center
12,78724,St. David's Medical Center
13,78725,St. David's Medical Center
14,78727,St. David's North Austin Medical Center
15,78730,Seton Medical Center - Northwest Austin
16,78731,Seton Medical Center - Austin
17,78733,St. David's South Austin Medical Center
18,78735,St. David's South Austin Medical Center
19,78736,St. David's South Austin Medical Center
20,78737,Seton Medical Center - Austin
21,78738,outside area
22,78739,St. David's South Austin Medical Center
23,78741,"Dell Seton Medical Center, UT"
24,78742,St. David's Medical Center
25,78744,St. David's South Austin Medical Center
26,78745,St. David's South Austin Medical Center
27,78746,St. David's South Austin Medical Center
28,78747,St. David's South Austin Medical Center
29,78748,St. David's South Austin Medical Center
30,78749,St. David's South Austin Medical Center
31,78750,St. David's North Austin Medical Center
32,78751,Seton Medical Center - Austin
33,78752,St. David's Medical Center
34,78753,St. David's North Austin Medical Center
35,78754,St. David's North Austin Medical Center
36,78756,Seton Medical Center - Austin
37,78757,Seton Medical Center - Austin
38,78758,St. David's North Austin Medical Center
39,78759,Seton Medical Center - Northwest Austin
40,78719,"Dell Seton Medical Center, UT"
